,word,word_count,new_date_x,percentage
132,covid19,16,2020-02-18,0.03470715835141000
133,covid19,16,2020-02-19,0.03382663847780130
134,covid19,16,2020-02-20,0.033402922755741100
135,covid19,22,2020-02-21,0.04059040590405900
136,covid19,9,2020-02-22,0.038135593220339000
137,covid19,10,2020-02-23,0.033444816053511700
138,covid19,19,2020-02-24,0.034926470588235300
139,covid19,18,2020-02-25,0.03991130820399110
140,covid19,12,2020-02-26,0.024793388429752100
141,covid19,16,2020-02-27,0.03180914512922470
142,covid19,18,2020-02-28,0.03621730382293760
143,covid19,11,2020-02-29,0.037800687285223400
144,covid19,17,2020-03-01,0.0529595015576324
145,covid19,23,2020-03-02,0.045454545454545500
146,covid19,15,2020-03-03,0.031055900621118000
147,covid19,15,2020-03-04,0.02664298401420960
148,covid19,13,2020-03-05,0.02826086956521740
149,covid19,18,2020-03-06,0.036
150,covid19,9,2020-03-07,0.029900332225913600
151,covid19,7,2020-03-08,0.025089605734767000
152,covid19,21,2020-03-09,0.03620689655172410
153,covid19,14,2020-03-10,0.029661016949152500
154,covid19,14,2020-03-11,0.028925619834710700
155,covid19,13,2020-03-12,0.027600849256900200
156,covid19,15,2020-03-13,0.026785714285714300
157,covid19,6,2020-03-14,0.01935483870967740
158,covid19,3,2020-03-15,0.011406844106463900
159,covid19,14,2020-03-16,0.0273972602739726
160,covid19,9,2020-03-17,0.019313304721030000
161,covid19,15,2020-03-18,0.028142589118198900
162,covid19,9,2020-03-19,0.019867549668874200
163,covid19,9,2020-03-20,0.019736842105263200
164,covid19,11,2020-03-21,0.03754266211604100
165,covid19,10,2020-03-22,0.028089887640449400
166,covid19,7,2020-03-23,0.01417004048583000
167,covid19,11,2020-03-24,0.01981981981981980
168,covid19,13,2020-03-25,0.02610441767068270
169,covid19,14,2020-03-26,0.024691358024691400
170,covid19,15,2020-03-27,0.03048780487804880
171,covid19,12,2020-03-28,0.030303030303030300
258,cases,0,2020-01-03,0.0
259,cases,0,2020-01-04,0.0
260,cases,0,2020-01-05,0.0
261,cases,1,2020-01-06,0.0020833333333333300
262,cases,1,2020-01-07,0.002369668246445500
263,cases,0,2020-01-08,0.0
264,cases,0,2020-01-09,0.0
265,cases,0,2020-01-10,0.0
266,cases,0,2020-01-11,0.0
267,cases,0,2020-01-12,0.0
268,cases,0,2020-01-13,0.0
269,cases,1,2020-01-14,0.002364066193853430
270,cases,0,2020-01-15,0.0
271,cases,0,2020-01-16,0.0
272,cases,0,2020-01-17,0.0
273,cases,2,2020-01-18,0.008064516129032260
274,cases,1,2020-01-19,0.0027247956403269800
275,cases,5,2020-01-20,0.010482180293501000
276,cases,2,2020-01-21,0.004901960784313730
277,cases,3,2020-01-22,0.008522727272727270
278,cases,0,2020-01-23,0.0
279,cases,0,2020-01-24,0.0
280,cases,0,2020-01-25,0.0
281,cases,3,2020-01-26,0.011583011583011600
282,cases,0,2020-01-27,0.0
283,cases,2,2020-01-28,0.006097560975609760
284,cases,0,2020-01-29,0.0
285,cases,0,2020-01-30,0.0
286,cases,1,2020-01-31,0.003436426116838490
287,cases,1,2020-02-01,0.0044444444444444400
288,cases,0,2020-02-02,0.0
289,cases,0,2020-02-03,0.0
290,cases,3,2020-02-04,0.006696428571428570
291,cases,5,2020-02-05,0.011494252873563200
292,cases,2,2020-02-06,0.004819277108433740
293,cases,3,2020-02-07,0.006382978723404260
294,cases,3,2020-02-08,0.011029411764705900
295,cases,1,2020-02-09,0.00398406374501992
296,cases,2,2020-02-10,0.003929273084479370
297,cases,2,2020-02-11,0.005
298,cases,2,2020-02-12,0.004975124378109450
299,cases,1,2020-02-13,0.002008032128514060
300,cases,3,2020-02-14,0.007075471698113210
301,cases,6,2020-02-15,0.024193548387096800
302,cases,3,2020-02-16,0.011194029850746300
303,cases,6,2020-02-17,0.013888888888888900
304,cases,4,2020-02-18,0.008676789587852500
305,cases,3,2020-02-19,0.006342494714587740
306,cases,4,2020-02-20,0.008350730688935280
307,cases,11,2020-02-21,0.02029520295202950
308,cases,5,2020-02-22,0.0211864406779661
309,cases,6,2020-02-23,0.020066889632107000
310,cases,7,2020-02-24,0.012867647058823500
311,cases,11,2020-02-25,0.024390243902439000
312,cases,12,2020-02-26,0.024793388429752100
313,cases,10,2020-02-27,0.019880715705765400
314,cases,5,2020-02-28,0.01006036217303820
315,cases,5,2020-02-29,0.01718213058419240
316,cases,9,2020-03-01,0.028037383177570100
317,cases,11,2020-03-02,0.021739130434782600
318,cases,7,2020-03-03,0.014492753623188400
319,cases,10,2020-03-04,0.017761989342806400
320,cases,9,2020-03-05,0.01956521739130440
321,cases,15,2020-03-06,0.03
322,cases,8,2020-03-07,0.026578073089701000
323,cases,9,2020-03-08,0.03225806451612900
324,cases,18,2020-03-09,0.03103448275862070
325,cases,5,2020-03-10,0.01059322033898310
326,cases,7,2020-03-11,0.014462809917355400
327,cases,8,2020-03-12,0.016985138004246300
328,cases,5,2020-03-13,0.008928571428571430
329,cases,4,2020-03-14,0.012903225806451600
330,cases,5,2020-03-15,0.019011406844106500
331,cases,9,2020-03-16,0.01761252446183950
332,cases,10,2020-03-17,0.02145922746781120
333,cases,10,2020-03-18,0.01876172607879930
334,cases,5,2020-03-19,0.011037527593819000
335,cases,9,2020-03-20,0.019736842105263200
336,cases,9,2020-03-21,0.030716723549488100
337,cases,11,2020-03-22,0.03089887640449440
338,cases,9,2020-03-23,0.018218623481781400
339,cases,10,2020-03-24,0.018018018018018000
340,cases,12,2020-03-25,0.024096385542168700
341,cases,11,2020-03-26,0.019400352733686100
342,cases,13,2020-03-27,0.026422764227642300
343,cases,17,2020-03-28,0.04292929292929290
344,coronavirus,0,2020-01-03,0.0
345,coronavirus,0,2020-01-04,0.0
346,coronavirus,0,2020-01-05,0.0
347,coronavirus,0,2020-01-06,0.0
348,coronavirus,0,2020-01-07,0.0
349,coronavirus,0,2020-01-08,0.0
350,coronavirus,0,2020-01-09,0.0
351,coronavirus,0,2020-01-10,0.0
352,coronavirus,0,2020-01-11,0.0
353,coronavirus,1,2020-01-12,0.003367003367003370
