,count_in_china_andothers,word_in_china_andothers,datechina_andothers,count_in_onlyworld,word_in_onlyworld,dateonlyworld,count_in_onlychina,word_in_onlychina,dateonlychina,count_in_all,word_in_all,dateall,percent_in_china_andothers,word_in_china_andothers_y,datechina_andothers_y,percent_in_only_world,word_in_only_world,dateonly_world,percent_in_only_china,word_in_only_china,dateonly_china
208,0,home,2020-02,1,home,2020-02,11,home,2020-02,23,home,2020-02,0.0,home,2020-02,0.00016966406515100100,home,2020-02,0.0018663047166610100,home,2020-02
209,0,home,2020-03,2,home,2020-03,5,home,2020-03,15,home,2020-03,0.0,home,2020-03,0.00040257648953301100,home,2020-03,0.001006441223832530,home,2020-03
210,1,national,2020-01,1,national,2020-01,11,national,2020-01,17,national,2020-01,0.0031847133757961800,national,2020-01,0.00019557989438685700,national,2020-01,0.0021513788382554300,national,2020-01
211,0,national,2020-02,3,national,2020-02,14,national,2020-02,25,national,2020-02,0.0,national,2020-02,0.0005089921954530030,national,2020-02,0.0023752969121140100,national,2020-02
212,0,national,2020-03,1,national,2020-03,1,national,2020-03,11,national,2020-03,0.0,national,2020-03,0.00020128824476650600,national,2020-03,0.00020128824476650600,national,2020-03
213,0,pneumonia,2020-01,0,pneumonia,2020-01,17,pneumonia,2020-01,24,pneumonia,2020-01,0.0,pneumonia,2020-01,0.0,pneumonia,2020-01,0.0033248582045765700,pneumonia,2020-01
214,1,pneumonia,2020-02,2,pneumonia,2020-02,14,pneumonia,2020-02,28,pneumonia,2020-02,0.003787878787878790,pneumonia,2020-02,0.00033932813030200200,pneumonia,2020-02,0.0023752969121140100,pneumonia,2020-02
215,0,pneumonia,2020-03,0,pneumonia,2020-03,1,pneumonia,2020-03,1,pneumonia,2020-03,0.0,pneumonia,2020-03,0.0,pneumonia,2020-03,0.00020128824476650600,pneumonia,2020-03
216,2,wed,2020-01,1,wed,2020-01,6,wed,2020-01,13,wed,2020-01,0.006369426751592360,wed,2020-01,0.00019557989438685700,wed,2020-01,0.001173479366321140,wed,2020-01
217,2,wed,2020-02,3,wed,2020-02,7,wed,2020-02,15,wed,2020-02,0.007575757575757580,wed,2020-02,0.0005089921954530030,wed,2020-02,0.0011876484560570100,wed,2020-02
218,1,wed,2020-03,8,wed,2020-03,6,wed,2020-03,22,wed,2020-03,0.0013175230566534900,wed,2020-03,0.001610305958132050,wed,2020-03,0.0012077294685990300,wed,2020-03
219,0,epicenter,2020-01,0,epicenter,2020-01,2,epicenter,2020-01,2,epicenter,2020-01,0.0,epicenter,2020-01,0.0,epicenter,2020-01,0.00039115978877371400,epicenter,2020-01
220,0,epicenter,2020-02,0,epicenter,2020-02,23,epicenter,2020-02,23,epicenter,2020-02,0.0,epicenter,2020-02,0.0,epicenter,2020-02,0.003902273498473020,epicenter,2020-02
221,1,epicenter,2020-03,1,epicenter,2020-03,20,epicenter,2020-03,24,epicenter,2020-03,0.0013175230566534900,epicenter,2020-03,0.00020128824476650600,epicenter,2020-03,0.004025764895330110,epicenter,2020-03
222,0,tested,2020-01,0,tested,2020-01,0,tested,2020-01,1,tested,2020-01,0.0,tested,2020-01,0.0,tested,2020-01,0.0,tested,2020-01
223,0,tested,2020-02,3,tested,2020-02,2,tested,2020-02,12,tested,2020-02,0.0,tested,2020-02,0.0005089921954530030,tested,2020-02,0.00033932813030200200,tested,2020-02
224,1,tested,2020-03,14,tested,2020-03,0,tested,2020-03,36,tested,2020-03,0.0013175230566534900,tested,2020-03,0.002818035426731080,tested,2020-03,0.0,tested,2020-03
225,0,work,2020-01,0,work,2020-01,6,work,2020-01,15,work,2020-01,0.0,work,2020-01,0.0,work,2020-01,0.001173479366321140,work,2020-01
226,0,work,2020-02,0,work,2020-02,12,work,2020-02,17,work,2020-02,0.0,work,2020-02,0.0,work,2020-02,0.0020359687818120100,work,2020-02
227,4,work,2020-03,1,work,2020-03,8,work,2020-03,17,work,2020-03,0.005270092226613970,work,2020-03,0.00020128824476650600,work,2020-03,0.001610305958132050,work,2020-03
228,1,patient,2020-01,0,patient,2020-01,2,patient,2020-01,7,patient,2020-01,0.0031847133757961800,patient,2020-01,0.0,patient,2020-01,0.00039115978877371400,patient,2020-01
