,count_in_china_andothers,word_in_china_andothers,datechina_andothers,count_in_onlyworld,word_in_onlyworld,dateonlyworld,count_in_onlychina,word_in_onlychina,dateonlychina,count_in_all,word_in_all,dateall,percent_in_china_andothers,word_in_china_andothers_y,datechina_andothers_y,percent_in_only_world,word_in_only_world,dateonly_world,percent_in_only_china,word_in_only_china,dateonly_china
106,0,latest,2020-02,1,latest,2020-02,27,latest,2020-02,31,latest,2020-02,0.0,latest,2020-02,0.00016966406515100100,latest,2020-02,0.004580929759077030,latest,2020-02
107,7,latest,2020-03,10,latest,2020-03,27,latest,2020-03,47,latest,2020-03,0.00922266139657444,latest,2020-03,0.002012882447665060,latest,2020-03,0.005434782608695650,latest,2020-03
108,3,health,2020-01,5,health,2020-01,14,health,2020-01,26,health,2020-01,0.009554140127388540,health,2020-01,0.0009778994719342850,health,2020-01,0.0027381185214160000,health,2020-01
109,0,health,2020-02,5,health,2020-02,11,health,2020-02,33,health,2020-02,0.0,health,2020-02,0.0008483203257550050,health,2020-02,0.0018663047166610100,health,2020-02
110,1,health,2020-03,8,health,2020-03,1,health,2020-03,26,health,2020-03,0.0013175230566534900,health,2020-03,0.001610305958132050,health,2020-03,0.00020128824476650600,health,2020-03
111,3,case,2020-01,1,case,2020-01,4,case,2020-01,18,case,2020-01,0.009554140127388540,case,2020-01,0.00019557989438685700,case,2020-01,0.0007823195775474280,case,2020-01
112,1,case,2020-02,8,case,2020-02,7,case,2020-02,31,case,2020-02,0.003787878787878790,case,2020-02,0.0013573125212080100,case,2020-02,0.0011876484560570100,case,2020-02
113,0,case,2020-03,4,case,2020-03,17,case,2020-03,35,case,2020-03,0.0,case,2020-03,0.0008051529790660230,case,2020-03,0.003421900161030600,case,2020-03
114,0,bringing,2020-01,1,bringing,2020-01,0,bringing,2020-01,1,bringing,2020-01,0.0,bringing,2020-01,0.00019557989438685700,bringing,2020-01,0.0,bringing,2020-01
115,0,bringing,2020-02,15,bringing,2020-02,3,bringing,2020-02,30,bringing,2020-02,0.0,bringing,2020-02,0.002544960977265020,bringing,2020-02,0.0005089921954530030,bringing,2020-02
116,2,bringing,2020-03,41,bringing,2020-03,1,bringing,2020-03,52,bringing,2020-03,0.002635046113306980,bringing,2020-03,0.008252818035426730,bringing,2020-03,0.00020128824476650600,bringing,2020-03
